923,"12, 18, 19, 27, 34, 39, 28, 20"
924,"12, 18, 19, 27, 34, 39, 29, 20"
982,"12, 18, 19, 27, 34, 39, 24"
992,"12, 18, 19, 27, 34, 39, 28, 31, 32, 22"
994,"12, 18, 19, 27, 34, 39, 30, 32, 21"
995,"12, 18, 19, 27, 34, 39, 30, 32, 21"
996,"12, 18, 19, 27, 34, 39, 30, 31, 32, 21"
997,"12, 18, 19, 27, 34, 39, 30, 31, 33, 21"
998,"13, 18, 19, 27, 34, 39, 21"
AD005,"14, 18, 19, 27, 34, 39, 38, 28, 31, 32, 22"
AD006,"14, 18, 19, 27, 34, 39, 38, 28, 31, 33, 22"
AD007,"14, 18, 19, 27, 34, 39, 38, 28, 31, 24"
AL002,"10, 18, 19, 27, 34, 39, 38, 21"
AL003,"10, 18, 19, 27, 34, 39, 38, , 21"
AL004,"10, 18, 19, 27, 34, 39, 38, 24"
CR007,"15, 18, 19, 27, 34, 39, 31, 21"
CR014,"15, 18, 19, 27, 34, 39, 21"
CR017,"13, 18, 19, 27, 34, 39, 31, 21"
CR018,"13, 18, 19, 27, 34, 39, 32, 21"
CR024,"13, 18, 19, 27, 34, 39, 31, 21"
CR046,"12, 18, 19, 27, 34, 39, 21"
CR047,"15, 18, 19, 27, 34, 39, 20"
CR048,"15, 18, 19, 27, 34, 39, 31, 20"
CR049,"15, 18, 19, 27, 34, 39, 31, 32, 29, 20"
CR050,"15, 18, 19, 27, 34, 39, 31, 20"
DU003A,"13, 18, 19, 27, 34, 39, 30, 31, 21, 26"
DU007,"12, 18, 19, 27, 34, 39, 28, 30, 26"
DU008,"12, 18, 19, 27, 34, 39, 28, 21, 26"
ED0002,"12, 18, 19, 27, 34, 39, 38, 28, 30, 31, 29, 20"
H302ER,"15, 18, 19, 27, 34, 39, 31, 25"
H303ER,"15, 18, 19, 27, 34, 39, 29, 25"
H304ER,"15, 18, 19, 27, 34, 39, 29, 25"
H305ER,"15, 18, 19, 27, 34, 39, 28, 31, 32, 29, 25"
H306ER,"15, 18, 19, 27, 34, 39, 31, 29, 25"
